TitleForSorting,TitleClean,Status,Remarks,CarouselFlag,CarouselOrder,CarouselSnippet,ExampleFlag,ExampleSnippet,FilmReleased,Year,Released,Actors,Awards,WonAward,Country,Director,Genre,Plot,Poster,Rated,CurrentWar,Runtime,DatabaseTitle,ratingRT,ratingMetacritic,ratingImdb,imdbID,imdbVotes
FLIGHT OF THE INTRUDER,FLIGHT OF THE INTRUDER,APPROVED,"THE DEPARTMENT OF THE NAVY AND THE DOD, APPROVED THE PARAMOUNT FILM. THE FILM WAS TECHNICALLY ACCURATE AND PORTRAYED THE MILITARY IN A GENERALLY POSITIVE MANNER. ONE OF THE MOST POSITIVE MOVIES ABOUT US MILITARY IN VIETNAM. FAILED AT BOX OFFICE BECAUSE IT APPEARED AT THE TIME THE GULF WAR WAS BEING FOUGHT ON TELEVISION",,,,,,TRUE,1991,1/18/1991,"Danny Glover, Willem Dafoe, Brad Johnson, Rosanna Arquette",,FALSE,USA,John Milius,"Action, Drama, Thriller, War","After his bombardier is killed, Jake ""Cool Hand"" Grafton (Brad Johnson)', a carrier-based Intruder pilot, questions the purpose of Navy bombing missions. He finds an ally for his cynicism in Virgil Cole, a bombardier on his third tour of duty, and together they ponder the notion of one unsanctioned mission ""downtown"", to ""Sam City"" in North Vietnam.",https://m.media-amazon.com/images/M/MV5BM2NiZDFhNzUtNGEwZS00ZGIyLTlhMjItNDI4ZTFjNWNlZjdiL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,PG-13,Gulf War,115,Flight of the Intruder,25%,,5.8,tt0099587,"6,299"
KING KONG (1933),KING KONG (1933),DENIED,NAVY TURNED DOWN REQUEST FOR PLANES TO DEPLOY AGAINST KING KONG ON EMPIRE STATE BUILDING ON GROUNDS THEY WERE AVAILABLE FROM COMMERCIAL SOURCES. PRODUCER WENT TO FLOYD BENNETT FIELD ON LONG ISLAND AND CONVINCED COMMANDER OF NAVAL AIR STATION TO SEND A FLIGHT OF FOUR PLANES (ONE PILOTED BY A MARINE) TO ATTACK KING KONG.,,,,,,TRUE,1933,4/7/1933,"Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher",3 wins & 7 nominations.,TRUE,USA,"Merian C. Cooper, Ernest B. Schoedsack","Adventure, Horror, Sci-Fi","Carl Denham needs to finish his movie and has the perfect location; Skull Island. But he still needs to find a leading lady. This 'soon-to-be-unfortunate' soul is Ann Darrow. No one knows what they will encounter on this island and why it is so mysterious, but once they reach it, they will soon find out. Living on this hidden island is a giant gorilla and this beast now has Ann in it's grasps. Carl and Ann's new love, Jack Driscoll must travel through the jungle looking for Kong and Ann, whilst avoiding all sorts of creatures and beasts.",https://m.media-amazon.com/images/M/MV5BZTY3YjYxZGQtMTM2YS00ZmYwLWFlM2QtOWFlMTU1NTAyZDQ2XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_SX300.jpg,Passed,,100,King Kong,98%,90,7.9,tt0024216,"77,648"
"SILENCE OF LAMBS, THE",THE SILENCE OF THE LAMBS,APPROVED,"THE FILM WAS APPROVED BY THE NATIONAL GUARD BUREAU AS WELL AS THE DOD. IT WAS THOUGHT THAT THE DEPICTION OF A PRISONER TRANSFER IN A MILITARY HANGAR FOR SECURITY PURPOSES WAS REASONABLY ACCURATE AND POSITIVE. AIR NATIONAL GUARD ASSISTED. ALSO, REQUEST FOR FOOTAGE OF A C-13B WAS PROVIDED BY THE 146TH TACTICAL AIRLIFT WING.",,,,,,TRUE,1991,2/14/1991,"Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz",Won 5 Oscars. Another 63 wins & 51 nominations.,TRUE,USA,Jonathan Demme,"Crime, Drama, Thriller","FBI trainee Clarice Starling works hard to advance her career, including trying to hide or put behind her West Virginia roots, of which if some knew would automatically classify her as being backward or white trash. After graduation, she aspires to work in the agency's Behavioral Science Unit under the leadership of Jack Crawford. While she is still a trainee, Crawford does ask her to question Dr. Hannibal Lecter, a psychiatrist imprisoned thus far for eight years in maximum security isolation for being a serial killer, he who cannibalized his victims. Clarice is able to figure out the assignment is to pick Lecter's brains to help them solve another serial murder case, that of someone coined by the media as Buffalo Bill who has so far killed five victims, all located in the eastern US, all young women who are slightly overweight especially around the hips, all who were drowned in natural bodies of water, and all who were stripped of large swaths of skin. She also figures that Crawford chose her as a woman to be able to trigger some emotional response from Lecter. After speaking to Lecter for the first time, she realizes that everything with him will be a psychological game with her having often to read between the very cryptic lines he provides. She has to decide how much she will play along as his request in return for talking to him is to expose herself emotionally to him. The case takes more dire turns when a sixth victim is discovered, this one from who they are able to retrieve a key piece of evidence if Lecter is being forthright as to its meaning. A potential seventh victim is high profile Catherine Martin, the daughter of Senator Ruth Martin, which places greater scrutiny on the case as they search for a hopefully still alive Catherine. Who may factor into what happens is Dr. Frederick Chilton, the warden at the prison, he an opportunist who sees the higher profile with Catherine, meaning a higher profile for himself if he can insert himself successfully into the proceedings.",https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,R,Gulf War,118,The Silence of the Lambs,96%,85,8.6,tt0102926,"1,240,198"
BEHIND ENEMY LINES,BEHIND ENEMY LINES,APPROVED,"AFTER PROTRACTED SCRIPT NEGOTIATIONS OVER CHARACTER AND TECHNICAL DETAILS, APPROVED FILMING INT AND EXT SCENES ABOARD SHIPS AND USN/USMC AIR STATIONS FOR THIS STORY INSPIRED BY THE USAF CAPT SCOTT O'GRADY BOSNIA SHOOTDOWN INCIDENT. REASONABLY POSITIVE DEPICTION AND RELATIVELY MODEST MILITARY ASSISTANCE, SINCE THE RESCUE OPERATION WILL BE FILMED IN SLOVAKIA WITH CIVILIAN HUEY AIRCRAFT.",,,,,,TRUE,2001,11/30/2001,"Owen Wilson, Gene Hackman, Gabriel Macht, Charles Malik Whitfield",1 win & 2 nominations.,TRUE,USA,John Moore,"Action, Drama, Thriller, War","Fighter navigator Chris Burnett wants out: he was looking for something more than the boring recon missions he's been flying. He finds himself flying the lone Christmas day mission over war-torn Bosnia. But when he talks pilot Stackhouse into flying slightly off-course to check out an interesting target, the two get shot down. Burnett is soon alone, trying to outrun a pursuing army, while commanding officer Reigert finds his rescue operation hamstrung by politics, forcing Burnett to run far out of his way.",https://m.media-amazon.com/images/M/MV5BM2RhNjdlYjMtOTM4Ni00MWZhLTkyZmItNmI2NDkxMjBhYTJkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG-13,,106,Behind Enemy Lines,37%,49,6.4,tt0159273,"97,920"
COURAGE UNDER FIRE,COURAGE UNDER FIRE,DENIED,"PRODUCTION COMPANY REQUESTED USE OF ARMORED VEHICLES (TANKS, BRADLEYS) AIRCRAFT, INSTALLATIONS, ETC, BUT TOO MANY SCRIPT CONCERNS REMAINED UNRESOLVED (MUTINY, COVER-UP, ETC). GAVE COURTESY, INFORMATIONAL ASSISTANCE ONLY. DID CONCUR WITH ARMY SETTING UP OVERNIGHT VISIT TO FORT IRWIN FOR ACTOR DENZEL WASHINGTON, WHICH RESULTED IN HIM MAKING FAVORABLE COMMENTS DURING PUBLICITY INTERVIEWS PROMOTING THE FILM.",,,,,,TRUE,1996,7/12/1996,"Denzel Washington, Meg Ryan, Lou Diamond Phillips, Michael Moriarty",9 wins & 7 nominations.,TRUE,USA,Edward Zwick,"Action, Drama, Mystery, Thriller, War","The pilot of a rescue copter, Captain Karen Walden, died shortly before her helicopter crew was rescued after it crashed in Desert Storm. It first appears that she made a spectacular rescue of a downed helicopter crew, then held her own crew together to fight off the Iraqis after her copter crashed. Lt. Colonel Serling, who is struggling with his own demons from Desert Storm, is assigned to investigate her worthiness for the Medal of Honor. But some conflicting accounts, from her crew and soldiers in the area, cause him to question whether she deserves it.",https://m.media-amazon.com/images/M/MV5BODJlOTlkNzUtN2U2OC00NWUxLTg3MjgtNGVmZGU5ZTk0ZjM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,,116,Courage Under Fire,85%,77,6.6,tt0115956,"49,662"
WAR HUNT,WAR HUNT,DENIED,"SMALL STORY ABOUT KOREA. SOLDIER STEALS OFF INTO NIGHT TO KILL NORTH KOREAN ENEMY. AFTER ARMISTICE, HE CONTINUES TO KILL, POSING A THREAT TO PEACE. SO, HIS OWN MEN MUST KILL THE KILLER WHO IS CLEARLY DOING WHAT ARMY TAUGHT HIM TO DO. PENTAGON REFUSED ANY ASSISTANCE SHOWING ONE OF ITS MEN KILLING A FELLOW OFFICER",,,,,,TRUE,1962,5/1/1962,"John Saxon, Charles Aidman, Sydney Pollack, Tommy Matsuda",2 wins & 1 nomination.,TRUE,USA,Denis Sanders,"Drama, War",Recruits head to the front lines towards the close of the Korean War. The interaction between two of the soldiers...an idealistic newcomer and a psychotic who goes on one-man patrols slitting enemy throats under cover of night...and the orphan boy who comes between them is examined. The Cease-Fire brings the three to a final resolution.,https://m.media-amazon.com/images/M/MV5BMTcxMDAzNzQ4N15BMl5BanBnXkFtZTcwMjU2Mjg4NA@@._V1_SX300.jpg,Not Rated,Vietnam War,83,War Hunt,44%,,6.3,tt0056675,779
JOHN PAUL JONES,JOHN PAUL JONES,APPROVED,"FILM BIOGRAPHY OF JOHN PAUL JONES. FILM OPENS AND CLOSES WITH SCENES OF MODERN NAVY SHIPS INCLUDING SHOTS ABOARD AN AIRCRAFT CARRIER. STORY THEN TOLD IN A FLASHBACK, ALBEIT NOT A COMPLETELY ACCURATE RENDERING OF JONES' LIFE. HOWEVER MESSAGE IN FILM IS THE NEED FDR THE UNITED STATES TO HAVE A STRONG NAVY TO PROTECT IT",,,,,,TRUE,1959,6/16/1959,"Robert Stack, Marisa Pavan, Charles Coburn, Erin O'Brien",,FALSE,"Spain, USA",John Farrow,"Action, Biography, History, Romance, War",The swashbuckling adventures of the hero of the Revolutionary War. His contributions weren't always appreciated by the new U.S. government. After the way Congress show their displeasure by sending him to the Russia of Catherine the Great.,https://m.media-amazon.com/images/M/MV5BOTcyMjJmZTgtMGU4Ni00NDM4LWIyODktNWNlZWEyNTUyNDlkL2ltYWdlXkEyXkFqcGdeQXVyMjM0ODM0NDk@._V1_SX300.jpg,,Vietnam War,126,John Paul Jones,31%,,6.5,tt0052946,"1,002"
DESTINY,DESTINY,APPROVED,"THE NAVY, AIR FORCE, AND MARINE CORPS APPROVED THE FILM FINDING IT SUSPENSEFUL, EXCITING, AND PROOF THAT IT IS OF MUTUAL ADVANTAGE TO PRODUCER AND DOD TO WORK TOGETHER. PREMIERE IN DC. THE DEPARTMENT AND THE MARINE CORPS APPROVED ASSISTANCE TO THE PRODUCTION, ALLOWING THE CORPS TO PROVIDE OFFICE SCENES. NO RECORD OF FILM BEING MADE",,,,,,FALSE,,,,,,,,,,,,,,,,,,,
"LONG GRAY LINE, THE",THE LONG GRAY LINE,APPROVED,FULL COOPERATION AT WEST POINT FOR STORY OF IRISH ATHLETIC TRAINER WHO ARRIVED AS AN IMMIGRANT AND STAYED HIS WHOLE LIFE AT THE MILITARY ACADEMY. HE KNEW ALL THE GREAT GENERALS WHO PASSED THROUGH THE DOOR INCLUDING PRESIDENT EISENHOWER. ARMY GAVE FULL COOPERATION TO STORY OF ATHLETIC TRAINER AT WEST POINT. ALL EXTERIOR FILMING DONE THERE.,,,,,,TRUE,1955,1/4/1955,"Tyrone Power, Maureen O'Hara, Robert Francis, Donald Crisp",1 nomination.,TRUE,USA,John Ford,"Biography, Comedy, Drama, Sport","The life story of a salt-of-the-earth Irish immigrant, who becomes an Army Noncommissioned Officer and spends his 50 year career at the United States Military Academy at West Point. This includes his job-related experiences as well as his family life and the relationships he develops with young cadets with whom he befriends. Based on the life of a real person.",https://m.media-amazon.com/images/M/MV5BNjYzZmNiYTMtOGRjZC00ZDc3LWIzYmUtMjQwZDVlYmJmM2UzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Approved,,138,The Long Gray Line,100%,,7.2,tt0048312,"2,361"
TOP GUN,TOP GUN,APPROVED,"DOD AND THE NAVY APPROVED ASSISTANCE ON THE FILM SINCE IT CLEARLY PORTRAYED THE NAVY IN A VERY POSITIVE LIGHT. FIRST CONTACT WAS MEETING BETWEEN PRODUCERS AND NAVY PUBLIC AFFAIRS FIRST WEEK IN JUNE, 1933. FIRST SCRIPT DELIVERED TO DOD 15-NOV-1983. FILM COMPLETED REHABILITATION OF THE MILITARY'S IMAGE, WHICH HAD BEEN SAVAGED BY THE VIETNAM WAR.",,,,,,TRUE,1986,5/16/1986,"Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards",Won 1 Oscar. Another 10 wins & 5 nominations.,TRUE,USA,Tony Scott,"Action, Drama","Lieutenant Pete ""Maverick"" Mitchell is an expert United States Naval Aviator. When he encounters a pair of MiGs over the Persian Gulf, his wingman is clearly outflown and freaks. On almost no fuel, Maverick is able to talk him back down to the carrier. When his wingman turns in his wings, Maverick is moved up in the standings and sent to the Top Gun Naval Flying School. There he fights the attitudes of the other pilots and an old story of his father's death in combat that killed others due to his father's error. Maverick struggles to be the best pilot, stepping on the toes of his other students and in another way to Charlie Blackwood, a civilian instructor to whom he is strongly attracted.",https://m.media-amazon.com/images/M/MV5BZjQxYTA3ODItNzgxMy00N2Y2LWJlZGMtMTRlM2JkZjI1ZDhhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,PG,,110,Top Gun,54%,50,6.9,tt0092099,"289,761"
"PRESIDIO, THE",THE PRESIDIO,APPROVED,"THE ARMY AND THE DEPARTMENT APPROVED ASSISTING THE FILM ON THE BASIS OF NO INTERFERENCE WITH THE MILITARY, NO ADDITIONAL EXPENSE TO THE GOVERNMENT. VIETNAM RELATED MOVIE THAT USED THE PRESIDIO [ARMY BASE] AS A BACKGROUND TO A MURDER MYSTERY. PRODUCERS OBVIOUSLY NEEDED USE OF THE PRESIDIO AND WERE WILLING TO REWRITE SCRIPT AFTER LONG NEGOTIATIONS.",,,,,,TRUE,1988,6/10/1988,"Sean Connery, Mark Harmon, Meg Ryan, Jack Warden",,FALSE,USA,Peter Hyams,"Action, Crime, Mystery, Thriller",Jay Austin is now a civilian police detective. Colonel Caldwell was his commanding officer years before when he left the military police over a disagreement over the handling of a drunk driver. Now a series of murders that cross jurisdictions force them to work together again. That Austin is now dating Caldwell's daughter is not helping the relationship at all.,https://m.media-amazon.com/images/M/MV5BNzNkODVlNWMtMDljZC00NGM1LWFkZTgtZjFjZjQ1ZmVjNzhjXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,R,,97,The Presidio,53%,31,6,tt0095897,"16,159"
"HONEY, I BLEW UP THE KID","HONEY, I BLEW UP THE KID",OTHER,"THE REQUEST FOR DOD ASSISTANCE CAME IN FROM THE PRODUCER. THERE FOLLOWED A PERIOD OF NEGOTIATION, WHILE DOD ATTEMPTED TO REMOVE THE DEPICTION OF MILITARY HELICOPTER PILOTS FOLLOWING THE MURDEROUS ORDERS OF A CIVILIAN SCIENTIST BAD GUY. HOWEVER, DOD ABILITY TO INFLUENCE THE SCRIPT WENT AWAY WHEN IT WAS INFORMED THAT ITS ASSISTANCE WAS NO LONGER REQUIRED.",,,,,,TRUE,1992,7/17/1992,"Rick Moranis, Marcia Strassman, Robert Oliveri, Daniel Shalikar",10 nominations.,TRUE,USA,Randal Kleiser,"Adventure, Comedy, Family, Romance, Sci-Fi","Wayne Szalinski is at it again. But instead of shrinking things, he tries to make a machine that can make things grow. As in the first one, his machine isn't quite accurate. But when he brings Nick & his toddler son Adam to see his invention, the machine unexpectedly starts working. And when Adam comes right up to the machine, he gets zapped along with his stuffed bunny. Now, whenever Adam comes near anything electrical, the electricity causes him to grow. Adam soon starts to grow to the height of over 100 feet. And he is now walking through Las Vegas which he thinks is one big play land.",https://m.media-amazon.com/images/M/MV5BOGU3N2MzOGYtODhmMy00Y2IzLWI3YmEtYzNiMTU1ZjY0ZDNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG,,89,"Honey, I Blew Up the Kid",40%,50,4.9,tt0104437,"40,598"
DESTINATION TOKYO,DESTINATION TOKYO,APPROVED,WIDELY CONSIDERED TO BE ONE OF THE BEST SUBMARINE MOVIE OF WORLD WAR II. RECEIVED FULL COOPERATION IN THE RESEARCH AND DEVELOPMENT OF SCRIPT PROVIDED A SUBMARINE AT MARE ISLAND FOR EXTERIOR FILMING. CREATED CLICHE OF APPENDICITIS OPERATION ABOARD SUB. FILM FOCUSES ON AMERICAN SUB WHICH GOES INTO TOKYO BAY TO COLLECT WEATHER INFORMATION FOR DOOLITTLE RAID.,,,,,,TRUE,1943,12/31/1943,"Cary Grant, John Garfield, Alan Hale, John Ridgely",,FALSE,USA,Delmer Daves,"Adventure, History, War","Made during World War II, this chronicles a voyage of a U.S. submarine on a secret mission to the very shores of Japan. Much of the film is spent developing the cast of characters that populate the sub.",https://m.media-amazon.com/images/M/MV5BNDJiYzY1ZWYtYzJhYi00YjQzLThkZjktNjUzMTIyOTE5MjY3XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,Approved,World War II,135,Destination Tokyo,80%,,7.1,tt0035799,"4,348"
WAR OF THE WORLDS,WAR OF THE WORLDS,OTHER,"REMAKE OF THE HG WELLS CLASSIC. STARRING TOM CRUISE AND TIM ROBBINS, DIRECTED BY STEVEN SPIELBERG. ARMY SUPPORTED WITH SOLDIERS AND VEHICLES IN CONNECTICUT, NEW JERSEY, VIRGINIA; USMC 1ST TANK BATTALION AND 1ST LAR BN (1ST LIGHT ARMORED RECONNAISSANCE BATTALION) PROVIDED VEHICLE AND PERSONNEL SUPPORT. SHOOTING TOOK PLACE 28 FEB - 7 MARCH JUST NORTH OF LA.",,,,,,TRUE,2005,6/29/2005,"Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin",Nominated for 3 Oscars. Another 17 wins & 45 nominations.,TRUE,USA,Steven Spielberg,"Adventure, Sci-Fi, Thriller","Ray Ferrier (Cruise) is a divorced dockworker and less-than-perfect father. When his ex-wife and her new husband drop off his teenage son Robbie and young daughter Rachel for a rare weekend visit, a strange and powerful lightning storm suddenly touches down. What follows is the extraordinary battle for the future of humankind through the eyes of one American family fighting to survive it in this contemporary retelling of H.G. Wells seminal classic sci-fi thriller.",https://m.media-amazon.com/images/M/MV5BNDUyODAzNDI1Nl5BMl5BanBnXkFtZTcwMDA2NDAzMw@@._V1_SX300.jpg,PG-13,Iraq War,116,War of the Worlds,75%,73,6.5,tt0407304,"411,254"
"YOUNG LIONS, THE",THE YOUNG LIONS,APPROVED,"PENTAGON AND STATE DEPARTMENT WENT THROUGH LONG PERIOD OF NEGOTIATIONS BEFORE AGREEING TO COOPERATION. PART OF PROBLEM WAS PORTRAYAL OF GERMAN OFFICER PORTRAYED BY MARLON BRANDO. IN IRWIN SHAW'S BOOK, HE WAS A CRUEL NAZI. GIVEN REHABILITATION OF GERMAN IMAGE DUE TO COLD WAR ALLIANCES, BRANDO BECOMES A GUILT-STRUCK, GOOD GERMAN. ANTI-SEMITISM WITHIN ARMY ALSO PLAYED DOWN",,,,,,TRUE,1958,4/2/1958,"Marlon Brando, Montgomery Clift, Dean Martin, Hope Lange",Nominated for 3 Oscars. Another 1 win & 4 nominations.,TRUE,USA,Edward Dmytryk,"Action, Drama, War",The destiny of three soldiers during World War II. The German officer Christian Diestl approves less and less of the war. Jewish-American Noah Ackerman deals with antisemitism at home and in the army while entertainer Michael Whiteacre transforms from playboy to hero.,https://m.media-amazon.com/images/M/MV5BYmMwZjQ4NzYtYzAzNC00Yjg0LWJhZWEtMTg5NzA4ZmZmOTI2XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,Approved,Vietnam War,167,The Young Lions,71%,,7.2,tt0052415,"7,048"
BIG RED ONE,BIG RED ONE,OTHER,"SAM FULLER TRIED FOR MANY YEARS TO MAKE A SEMI-AUTOBIOGRAPHICAL FILM ABOUT HIS EXPERIENCES IN THE ""BIG RED ONE."" WHEN HE FINALLY MADE IT, HAD TO USE EQUIPMENT IN ISRAEL. NO NEED TO REQUEST ASSISTANCE. HOWEVER, FILM IS HIGHLY POSITIVE IMAGE OF THE ARMY AND WAS FIRST POSITIVE MOVIE ABOUT ARMY SINCE THE END OF THE VIETNAM WAR.",,,,,,TRUE,1980,7/18/1980,"Lee Marvin, Mark Hamill, Robert Carradine, Bobby Di Cicco",2 wins & 2 nominations.,TRUE,USA,Samuel Fuller,"Drama, War","The story of a hardened army Sergeant and four of his men from their first fight at the Kasserine Pass after the invasion of North Africa through to the invasion of Sicily, D-Day, the Ardennes forest and the liberation of a concentration camp at the end of the war. As the five of them fight - and survive to fight yet again in the next battle - new recruits joining the squad are swatted down by the enemy on a regular basis. The four privates are naturally reluctant to get to know any of the new recruits joining the squad, who become just a series of nameless faces.",https://m.media-amazon.com/images/M/MV5BMGM3MmI0ZDUtYzE1ZS00YWE4LWEzY2UtNjhiZTBiZTEyMzY1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,R,,113,The Big Red One,90%,77,7.1,tt0080437,"18,489"
PUPPET MASTERS,PUPPET MASTERS,DENIED,"MARK INDIG PROVIDED SCRIPT TO PHIL STRUB INFORMALLY, TO GET HIS OPINION. SINCE IT INVOLVES SLUG- LIKE ALIENS WHO TRY TO TAKE OVER THE HUMAN RACE (AND VANQUISH A LITTLE ARMY ATTEMPT TO DESTROY THEM), STRUB SAID THAT MILITARY ASSISTANCE WAS NOT GOING TO BE FORTHCOMING. PROVIDED INFO TO INDIG OVER THE PHONE ON MAY 24. NO FILE.",,,,,,TRUE,1994,10/21/1994,"Donald Sutherland, Eric Thal, Julie Warner, Keith David",2 nominations.,TRUE,USA,Stuart Orme,"Horror, Sci-Fi, Thriller","Strange aliens land in the Midwest, taking over people's minds in order to spread their dominion. Sam Nivens and Andrew Nivens, aided by Mary Sefton, are part of a government agency who must stop the the aliens before the aliens get to them...",https://m.media-amazon.com/images/M/MV5BNDcyMGRmMTMtZDhiYy00YmM4LTkwNDQtM2FlOGViYTgwZmRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,,109,The Puppet Masters,26%,,5.9,tt0111003,"8,206"
HAIR,HAIR,APPROVED,"ARMY ORIGINALLY REFUSED TO EVEN CONSIDER COOPERATION, EQUATING FILM SCRIPT WITH ORIGINAL PLAY. IN FACT, SCRIPT ENTIRELY DIFFERENT. PRODUCERS REFUSED TO TAKE NO FOR AN ANSWER AND APPROACHED THE SECRETARY OF THE ARMY FOR HELP. DOD (NORM HATCH) SAID STORY WAS ""VERY RELIGIOUS."" ULTIMATELY CALIFORNIA NATIONAL GUARD PROVIDED A CLOSED BASE AND A PLANE FOR A FEW SCENES.",,,,,,TRUE,1979,3/15/1979,"John Savage, Treat Williams, Beverly D'Angelo, Annie Golden",Nominated for 2 Golden Globes. Another 2 wins & 3 nominations.,TRUE,"USA, West Germany",Milos Forman,"Comedy, Drama, Musical, Romance, War","This movie, based on the cult Broadway musical of the 60s, tells a story about Claude, a young man from Oklahoma who comes to New York City. There he strikes up a friendship with a group of hippies, led by Berger, and falls in love with Sheila, a girl from a rich family. However, their happiness is short because Claude must go to the Vietnam war.",https://m.media-amazon.com/images/M/MV5BODUzNjUzNzIzM15BMl5BanBnXkFtZTcwMjc4MjkzNA@@._V1_SX300.jpg,PG,,121,Hair,88%,68,7.6,tt0079261,"34,566"
CATCH-22,CATCH-22,OTHER,MOVIE BASED ON CLASSIC AMERICAN NOVEL ABOUT THE ABSURDITIES OF WAR. DIRECTOR MIKE NICHOLS CREATED HIS OWN AIR FORCE OF B-25 BOMBERS FOR FILMING IN MEXICO. FILM WAS NOT A POPULAR SUCCESS IN PART BECAUSE PEOPLE WHO HAD NOT READ THE NOVEL CAME TO THEATER EXPECTING TO SEE A COMBAT MOVIE. DESCRIBED AS A NOBLE FAILURE BY SOME CRITICS,,,,,,TRUE,1970,6/24/1970,"Alan Arkin, Martin Balsam, Richard Benjamin, Art Garfunkel",Nominated for 1 BAFTA Film Award. Another 3 nominations.,TRUE,USA,Mike Nichols,"Comedy, Drama, War","A bombardier in World War II tries desperately to escape the insanity of the war. However, sometimes insanity is the only sane way cope with a crazy situation. Catch-22 is a parody of a ""military mentality"" and of a bureaucratic society in general.",https://m.media-amazon.com/images/M/MV5BZjM2M2IzY2QtMWU4My00NmFlLWIwNDUtZmNiZjNmMDhmYThjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,R,Vietnam War,122,Catch-22,79%,70,7.1,tt0065528,"21,667"
WARGAMES,WARGAMES,OTHER,THE THEME OF THE FILM GOES AGAINST EVERYTHING DOD EVER SAID ON THE SUBJECT OF ACCIDENTAL NUCLEAR WARFARE. PLOT ABSURD AND IMPLAUSIBLE. THE AIR FORCE FELT THAT THE BASIC CONCEPT OF THE FILM WAS UNACCEPTABLE. NO FORMAL REQUEST FOR ASSISTANCE EVER MADE AND JOHN HORTON ASKED DON BARUCH NOT TO PUT FORMAL TURN-DOWN IN WRITING IN LETTER OF 22-JUNE-1981.,,,,,,TRUE,1983,6/3/1983,"Matthew Broderick, Dabney Coleman, John Wood, Ally Sheedy",Nominated for 3 Oscars. Another 4 wins & 11 nominations.,TRUE,USA,John Badham,"Action, Adventure, Drama, Sci-Fi, Thriller","A young computer whiz kid accidentally connects into a top secret super-computer which has complete control over the U.S. nuclear arsenal. It challenges him to a game between America and Russia, and he innocently starts the countdown to World War 3. Can he convince the computer he wanted to play a game and not the real thing ?",https://m.media-amazon.com/images/M/MV5BMTMyMTE3OTk3NF5BMl5BanBnXkFtZTcwOTkwNDc3NA@@._V1_SX300.jpg,PG,,114,WarGames,93%,77,7.1,tt0086567,"88,934"
OPERATION PACIFIC,OPERATION PACIFIC,APPROVED,"FULL NAVY COOPERATION ON FIRST WORLD WAR II POST-WAR SUBMARINE MOVIE STARRING JOHN WAYNE. NAVY'S ONLY PROBLEM WITH FILM WAS PORTRAYAL OF TORPEDO PROBLEMS IN FIRST YEAR OF WAR. SHOWED TORPEDOS WERE DEFECTIVE WHICH SERVICE AND PENTAGON DID NOT APPRECIATE BEING PORTRAYED. AT SAME TIME, SHOWS HOW WAYNE SOLVED PROBLEM AND SO HELPED WIN THE WAR. USE OF SUBMARINE,",,,,,,TRUE,1951,1/27/1951,"John Wayne, Patricia Neal, Ward Bond, Scott Forbes",,FALSE,USA,George Waggner,"Drama, Romance, War","The submarine USS Thunderfish successfully completes a secret mission to rescue a group of orphans on a remote Pacific island. On the way back to Honolulu they encounter a Japanese aircraft carrier but the torpedoes they fire explode about halfway to the target, a recurring problem that has plagued the submarine fleet for some time. The Thunderfish's XO, Duke Gifford runs into his ex-wife and Navy nurse Mary Stuart at the hospital. There's still a spark between them but the boat is sent out on another mission before anything is resolved. When Gifford's good friend and captain, Pop Perry, is killed Gifford believe it's his fault. A inquiry clears him and after he and his men solve the problem of the misfiring torpedoes, they set out to sea.",https://m.media-amazon.com/images/M/MV5BMGM3ODNjOWMtYmM2Yy00Mjg4LTk1OGMtZjEwOTVlY2EwYTE2XkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Approved,Korean War,111,Operation Pacific,52%,,6.7,tt0043887,"3,135"
