Title,Subtitle,Status,Year,Remarks,Interesting?
GODZILLA,,APPROVED,2014,"Navy embedded a production company splinter unit onboard USS Nimitz 9. 11 April 2013 to film day and night flight operations that included jets, helicopters, touch n goes, flyovers and flight maneuvers. Also coordinated for pierside access to a carrier to cover sounding general quarters and manning battle—stations drills simulated battle operations on the bridge CDC bridge wings manning the watch over the shoulder shots of Sailors looking to sea sickbay crew mess and quarters and hangar bay ops. Also filmed the USS George Washington Carrier Strike Group underway.   Army provided an Apache [AH—64), a Blackhawk (UH-60), a variant of the High Mobility Multipurpose Wheeled Vehicle (HMMWV), a variant of the Family of Medium Tactical Vehicles (FMTV) and a variant of the Stryker Light Armored Vehicle for the purpose of LIDAR 3D modeling and Computer Generated Imagery (GI). Also The US. Army provided three (3) High Mobility Multipurpose Wheeled Vehicles (HMMWVs), two (2) troop transport trucks, approximately thirty (30) Army personnel (as extras), and one (I) Black Hawk helicopter in flight (flight plan approved and subject to budget estimate per flight hour when training mission unavailable) for purpose of filming rescue/humanitarian/FEMA—type scene in Waikiki, Hawaii on 13Jul2013  Air Force provided for filming/photographing of a C-17 to be used for depicting troops offloading from a deployment at Joint Base Pearl Harbor-Hickam provided for a static C-17 at Joint Base Pearl Harbor-Hickam to allow for filming of two configurations — inside and outside-— to show passenger—seats configuration and a Halo jump setting as well as use of exterior green screen to simulate HALO jump. Use of the C-17 was provided for 3- continuous days to include rigging, filming and wrap (tear down—removal of all equipment).",Y
GOLDENEYE,,APPROVED,1995,"APPROVED REQUEST FOR MARINES AND NATIONAL GUARD HELICOPTERS TO COME TO THE BELATED RESCUE OF JAMES BOND AT CONCLUSION OF THIS FILM. NO FILE. REASONABLY REALISTIC & POSITIVE, IF BRIEF. FILMED SUCCESSFULLY IN PUERTO RICO FOR TWO DAYS.",y
GOLDFINGER,,LIMITED,1964,DOD CONTINUED TRADITION OF PROVIDING LIMITED ASSISTANCE TO THE JAMES BOND FILMS,Y
GOOD GUYS WEAR BLACK,,APPROVED,1978,"ONE OF FIRST FILMS SET IN VIETNAM TIME FRAME TO RECEIVE ARMY COOPERATION IN THE FORM OF HELICOPTERS AND EQUIPMENT--STORY OF SPECIAL FORCES UNIT SENT BACK TO VIETNAM TO RESCUE POWS, BUT SET UP TO GET RID OF UNIT AS PART OF PEACE AGREEMENT--SURVIVORS ARE BEING KILLED BY ORDER OF SECRETARY OF STATE DESIGNATE WHO AGREED TO ORDERS TO ACHIEVE ACCORD. CHUCK NORRIS IS LEADER OF UNIT, NOW A HISTORY PROFESSOR, WHO SAVES THE DAY.",
"GOOD MORNING, VIETNAM",,DENIED,1987,"THIS IS THE FIRST COMEDY SET IN VIETNAM. FOCUS ON ARMED FORCES VIETNAM NETWORK DJ PLAYED BY ROBIN WILLIAMS. BASED ON ACTUAL AIR FORCE DJ, BUT WILDLY EXAGGERATED FOR DRAMATIC EFFECT. COMPLETELY UNREALISTIC.",Y
GRAY LADY DOWN,EVENT 1000,APPROVED,1978,"THE NAVY PROVIDED SUPPORT OF THE FILM AFTER MANY CHANGES AND SEVERAL PRODUCTIONS INCLUDING FRANK ROSENBERG, WILLIAM ALDRICH, AND BING CROSBY PRODUCTIONS. FILM HAS ALL THE PROBLEMS OF EVERY NAVY SUBMARINE DISASTER MOVIE. LOSING AN ATOMIC SUBMARINE DOES LITTLE TO HELP THE SERVICE'S IMAGE.",
"GREAT ESCAPE, THE",,LIMITED,1963,CLASSIC POW ESCAPE FILM BASED ON ACTUAL INCIDENT,Y
"GREAT IMPOSTOR, THE",,LIMITED,1960,"LIMITED ASSISTANCE, DATE APPROXIMATE, NO FILE",
"GREAT RAID, THE",,LIMITED,2005,"ASSISTANCE APPROVED, BUT NONE WAS REQUESTED AT FIRST, ASIDE FROM HISTORICAL AND TECHNICAL ADVICE, WHICH THE CENTER FOR MILITARY HISTORY, ARMY, AND DOD PROVIDED IN PRODIGIOUS QUANTITIES, AND OF WHICH ALL SIGNIFICANT (AND MUCH INSIGNIFICANT) WAS UNHESITATINGLY INCORPORATED. AT ONE POINT THE ARMY WAS POISED TO PROVIDE A HISTORIC SHERMAN TANK FOR FILMING (IN AUSTRALIA AS THE PHILIPPINES) WHEN THE PRODUCTION COMPANY WITHDREW ITS REQUEST FOR THE TANK.",
"GREAT SANTINI, THE",,OTHER,1979,"APPROVED USE OF MARINE AIRCRAFT, PERSONNEL, AND INSTALLATIONS. NEGOTIATIONS EXTENDED OVER A LONG PERIOD DUE TO PROBLEMS WITH PORTRAYAL OF MARINE OFFICER AS WIFE AND CHILD ABUSER, A PATTON-TYPE WARRIOR, NEEDED IN WAR BUT LOST IN PEACETIME.",
"GREEN DRAGON, THE",,APPROVED,2001,"DOD APPROVED FILMING FOR APPROXIMATELY 4 WEEKS AT A RELATIVELY REMOTE TRAINING AREA AT MARINE CORPS BASE CAMP PENDLETON, CA. INCLUDED USE OF QUONSET HUTS, OTHER STRUCTURES, OFF-DUTY MARINE EXTRAS; MINIMAL IMPACT ON INSTALLATION, EXCELLENT DEPICTION OF ACTUAL HISTORICAL VIETNAMESE REFUGEE CAMP SET UP AFTER THE FALL OF SAIGON IN 1975. PATRICK SWAYZE PLAYS A VERY SYMPATHETIC AND HELPFUL MARINE GUNNERY SERGEANT.",
GUADALCANAL DIARY,,APPROVED,1943,"BASED ON HISTORY OF SAME NAME BY RICHARD TREGASKIS ABOUT BATTLE TO CAPTURE GUADALCANAL. MARINES GAVE FULL COOPERATION, MEN, EQUIPMENT, ETC., AT CAMP PENDLETON. CONSIDERED TO BE ONE OF BEST MOVIES TO COME OUT OF THE WAR AND A MARINE CORPS CLASSIC",Y (HIGH PRAISE FROM YA BOI)
GUARDING TESS,,APPROVED,1994,COMPANY DID FILM ARRIVAL SCENE WITH ANG HANGARS AND AIRCRAFT IN BACKGROUND. ADVISED THAT THEY WERE GOING TO USE A NEWLY-RENTED CIVILIAN HELICOPTER ULTIMATELY USED NG HELICOPTER FOR NIGHT EVACUATION SCENE. PAID ALL EXPENSES,
GUNG HO,,APPROVED,1943,FULL MARINE COOPERATION AT MARINE CORPS BASE CAMP PENDLETON.,
HAIR,,OTHER,1979,"ARMY ORIGINALLY REFUSED TO EVEN CONSIDER COOPERATION, EQUATING FILM SCRIPT WITH ORIGINAL PLAY. IN FACT, SCRIPT ENTIRELY DIFFERENT. PRODUCERS REFUSED TO TAKE NO FOR AN ANSWER AND APPROACHED THE SECRETARY OF THE ARMY FOR HELP. DOD (NORM HATCH) SAID STORY WAS ""VERY RELIGIOUS."" ULTIMATELY CALIFORNIA NATIONAL GUARD PROVIDED A CLOSED BASE AND A PLANE FOR A FEW SCENES.",Y
HALLS OF MONTEZUMA,,APPROVED,1950,"FOX'S VERSION OF JOHN WAYNE'S ""SANDS OF IWO JIMA."" FOCUS ON OFFICERS RATHER THAN ENLISTED MEN AND GENERALLY CONSIDERED TO BE MUCH LESS COMPELLING THAN ""IWO JIMA."" RECEIVED FULL MARINE COOPERATION AT CAMP PENDLETON",
HAMBURGER HILL,,APPROVED,1987,"ARMY FOUND THE FILM TO BE HISTORICALLY ACCURATE AND MOVING. PRESENTED A MORE REALISTIC VIEW OF THE STRUGGLES OF COMBAT SOLDIERS IN VIETNAM, AS OPPOSED TO OTHER VIETNAM FILMS. ONE OF VERY FEW COMBAT FILMS SET IN VIETNAM TO RECEIVE FULL COOPERATION IN THIS PERIOD.",
HANOI HILTON,,APPROVED,1987,"AN USUALLY FINE SCRIPT ACCORDINGING TO DOD AT THE TIME. BENEFITTED THE MILITARY BY PRESENTING VERY REALISTIC DEPICTION OF EVENTS, ALTHOUGH THE STORY ITSELF IS FICTIONAL POSITIVE PORTRAYAL OF POWS SHOWING TORTURE, FORTITUDE, AND CONDEMNATION OF A JANE FONDA TYPE (REPLICATING ONE OF HER VISITS TO HANOI). SCREENING IN MARCH, 1987 AT PENTAGON.",Y
HANOI-RELEASE JOHN NASMYTH,,APPROVED,,STOCK FOOTAGE AND AIRCRAFT WAS APPROVED FOR USE AT NO ADDITIONAL COST TO THE GOVERNMENT. NO RECORD OF FILMING BEING MADE.,
HEALTH CLUB,,APPROVED,,"THF SCRIPT WAS DIRECTED TO THE NATIONAL GUARD BURT-All FOR APPROVAL AND IN TURN, APPROVED. NO RECORD OF MOVIE BEING MADE",
HEARTBREAK RIDGE,,APPROVED,1986,"PROJECT ORIGINALLY AN ARMY FILM. BUT SERVICE UNHAPPY WITH SCRIPT AND PARTICULARLY LANGUAGE. MARINES AGREED TO COOPERATE IF CHANGES MADE. COMPANY AGREED. BUT NOT CLEAR WHAT CHANGES MARINES REQUESTED. MARINE TECHNICAL ADVISOR MAY HAVE GIVEN FILMMAKERS WIDE LATITUDE. WHEN SCREENED IN PENTAGON, BOTH DOD AND MARINES REQUESTED SCREEN CREDIT BE REMOVED BECAUSE OF DISSATISFACTION WITH PICTURE. FOR EXAMPLE, ACTOR CLINT EASTWOOD'S MARINE CHARACTER SHOOTS A DYING CUBAN SOLDIER AND TAKES CIGAR FROM HIS POCKET.",
HEARTS AND MINDS,,OTHER,1974,OSCAR-WINNING DOCUMENTARY ABOUT THE AMERICAN EXPERIENCE IN VIETNAM. TAKES POTSHOTS AT MILITARY BUT CAPTURES THE FRUSTRATION OF THE UNITED STATES IN COUNTRY,
HEARTS IN ATLANTIS,,APPROVED,2001,"APPROVED FILMING A COUNTY FAIR-TYPE SCENE SET UP AT THE ARMY'S FORT STORY INSTALLATION IN VIRGINIA BEACH, VA. LENGTHY SET-UP/TEAR DOWN, BUT ONLY SEVERAL DAYS FILMING. VIRTUALLY NO MILITARY PRESENCE, ASIDE FROM ARMY RECRUITERS AT THE FAIR AND REFERENCES TO ONE OF THE MAIN CHARACTERS AS A DECORATED VIETNAM VET. ON THE OTHER HAND, NOT MUCH IMPACT ON THE SITE, AS THE LOCATION IS SOMEWHAT ISOLATED",
HEAVEN KNOWS MR ALLISON,,APPROVED,1957,THE MARINES PROVIDED A SMALL LANDING FORCE AS BACKGROUND FOR RESCUE OF A MARINE AND A NUN FROM A SOUTH PACIFIC ISLAND DURING WORLD WAR II. REAL PROBLEM CAME FROM PRODUCTION CODE OFFICE WHICH WAS CONCERNED THAT THE STORY MIGHT TAKE AN ANTI-CATHOLIC APPROACH.,
HELL BELOW,,APPROVED,1933,NAVY GAVE FULL COOPERATION TO WORLD WAR I SUBMARINE STORY.,
HELL IS FOR HEROES,,APPROVED,1962,"WORLD WAR II DRAMA ABOUT A SMALL UNIT FORCED TO TRY TO STOP A GERMAN ATTACK. ARMY PROVIDED MEN AND EQUIPMENT TO STAGE BATTLE SCENES. FILM CONSIDERED BETTER THAN MOST OF TYPE IN PART DUE TO WRITING OF ROBERT PIROSH, WHO PREVIOUSLY WON AN OSCAR FOR ""BATTLEGROUND.""",
HELL RETREAT!,,APPROVED,1952,"NAVY PROVIDED FULL COOPERATION FOR FILM BASED ON JAMES MICHENER'S ARTICLE ABOUT A CARRIER DURING THE KOREAN WAR. SHOWED THE REAL PILOTS (PORTRAYED BY ACTORS, OF COURSE) FLYING THE MISSIONS THE WRITER HAD DESCRIBED. SOME DRAMATIC LICENSE-ONE PILOT DID GUIDE A BLINDED PILOT TO A SAVE LANDING, BUT ON AN AIR FIELD, NOT A CARRIER",
HELL TO ETERNITY,,APPROVED,1960,WORLD WAR II MARINE FILM BASED ON TRUE STORY OF MARINE WHO HAD BEEN RAISED BY JAPANESE FOSTER PARENTS. FILM CONTAINS MANY BATTLE SCENES CREATED WITH HELP OF MARINES.,
HELLCATS OF THE NAVY,,APPROVED,1957,NAVY GAVE FULL COOPERATION TO SUBMARINE MOVIE STARRING RONALD AND NANCY REAGAN. TYPICAL FILM WHICH INVOLVED CLASH BETWEEN CAPTAIN WHO DOESN'T THINK EXEC IS READY FOR COMMAND AND EXEC WHO THINKS HE IS.,Y
HELLDIVERS,,APPROVED,1931,"PEACE-TIME NAVAL AVIATION FILM FOR WHICH SERVICE PROVIDED MEN, EQUIPMENT, AND PLANES",
HELLO DOLLY,,LIMITED,1969,ARMY ALLOWED FILMMAKERS TO BUILD A CHURCH ON GROUNDS OF WEST POINT OVERLOOKING THE HUDSON TO FILM THE WEDDING SEQUENCE.,
HERO,,OTHER,,"AFTER REVIEWING THE SCRIPT, DOD DETERMINED NOT TO SUPPORT THE FILM, BECAUSE THERE WAS NO BENEFIT TO THE AIR FORCE. NO INDICATION THAT THE FILM WAS EVER PRODUCED.",Y
HERO OF SUBMARINE D-2,,APPROVED,1916,NAVY GAVE COOPERATION TO EARLY SUBMARINE STORY--USE OF SUB FOR EXTERIOR SHOTS,
HEROES,,LIMITED,1977,"HENRY WINKLER PLAYS A DERANGED VIETNAM VET WHO ESCAPES FROM VA HOSPITAL AND HEADS CROSS COUNTRY TO START A WORM BUSINESS WITH A BUDDY FROM VIETNAM. WHEN HE ARRIVES AT HOME, PARENTS TELL HIM THEIR SON WAS KILLED IN VIETNAM WHICH TRIGGERS VIETNAM FLASHBACK--GOOD REALISTIC FIRE FIGHT SEQUENCE. ARMY ALLOWED FILMMAKERS TO FILM SEQUENCE AT RECRUIT STATION IN TIMES SQUARE. WINKLER TRIES TO DISSUADE BOYS' ENLISTMENT. FIRST FILM TO RECEIVE ANY ARMY ASSISTANCE, HOWEVER LIMITED, AFTER THE END OF THE VIETNAM WAR",
"HINDENBURG, THE",,LIMITED,1975,"NAVY PERMITTED FILM COMPANY TO USE DIRIGIBLE HANGAR ON NAVY BASE OUTSIDE SAN JOSE TO FILM MINIATURE SEQUENCES FOR BIG-BUDGET, STAR FILLED FILM WHICH PROVED AS DISASTROUS AT BOX OFFICE AS ACTUAL SHIP BECAME IN FLIGHT",Y (SHADE)
HOFFA, ,OTHER,1992,COMPANY RENTED SDME OFFICE FURNITURE THAT WAS ON ITS WAY TD SALE TO PUBLIC AS SURPLUS GOVT PROPERTY; CO. CERTIFIED NONE WAS AVAILABLE THROUGH PRIVATE SECTOR (no MILITARY CONNECTION TD PICTURE,
HOLD 'EM NAVY,TEN SOLDIERS,APPROVED,1984,APPROVED USE OF INSTALLATIONS AND EQUIPMENT. DOD FELT IT WOULD HAVE A POSITIVE IMPACT AND BENEFIT TO THE MILITARY SERVICES AND IN THE NATIONAL INTEREST. AIR FORCE ORIGINALLY REFUSED TO PROVIDE ASSISTANCE DUE TO LANGUAGE OF A PILOT. ULTIMATELY JOHN MILIUS DECIDED IT COST TOO MUCH TO USE MILITARY ASSISTANCE.,
HOLD BACK THE NIGHT,,APPROVED,1956,STORY OF MARINE RETREAT FROM THE YALU. FILMED WITH FULL MARINE COOPERATION. MEN AND EQUIPMENT,
HOME OF THE BRAVE,,OTHER,1948,STORY OF WORLD WAR II ABUSE OF BLACK SOLDIER BY WHITE SOLDIERS DURING A SPECIAL MISSION. ASSISTANCE NOT REQUESTED. CONTROVERSIAL AT TIME.,Y
HOMER AND EDDIE,,LIMITED,1990,STOCK FOOTAGE WAS APPROVED FOR AN AIR FORCE JET FLYING OVER A DESERT TERRAIN.,
HONEY I BLEW UP THE BABY [KID],,OTHER,1992,"THE REQUEST FOR DOD ASSISTANCE CAME IN FROM THE PRODUCER. THERE FOLLOWED A PERIOD OF NEGOTIATION, WHILE DOD ATTEMPTED TO REMOVE THE DEPICTION OF MILITARY HELICOPTER PILOTS FOLLOWING THE MURDEROUS ORDERS OF A CIVILIAN SCIENTIST BAD GUY. HOWEVER, DOD ABILITY TO INFLUENCE THE SCRIPT WENT AWAY WHEN IT WAS INFORMED THAT ITS ASSISTANCE WAS NO LONGER REQUIRED.",
HOT SHOTS,,OTHER,1991,PARODY OF TOP GUN,
HUEY,,OTHER,,"THE LAST ACTION TAKEN WAS DOD INFORMING THE PRODUCER OF THE SCRIPT'S INACCURACIES. THE FILM DEPICTED THE ARMY. IT PROBABLY WOULD HAVE BEEN DENIED, BUT THE PROJECT EVENTUALLY DIED.",
"HUNTERS, THE",,APPROVED,1958,BIG BUDGET FILM ABOUT JET FIGHTERS IN KOREA AND THEIR BATTLES WITH SOVIET MIGS. AIR FORCE PROVIDED PLANES USED IN SPECTACULAR FLYING SEQUENCES AND PROVIDED GUN CAMERA STOCK FOOTAGE.,
I AIM AT THE STARS,,APPROVED,1960,"ARMY WANTED FILM MADE TO SHOW HOW IT WAS DEVELOPING ITS MISSILES AND HOW IT HAD PUT THE FIRST SATELLITE INTO ORBIT. FILM BECOMES A BIOGRAPHY OF WERNHER VON BRAUN, SHOWING HIS NAZI ORIGINS AND REHABILITATION AS AMERICAN HERO. MUCH CONTROVERSY. NASA REFUSED TO COOPERATE BECAUSE IT DID NOT WANT TO BE ASSOCIATED WITH MAN WHO BUILT ROCKETS WHICH HIT LONDON--UNCHARITABLY SUBTITLED BY SOME CRITICS: ""BUT SOMETIMES I HIT LONDON."" ARMY GAVE FULL ASSISTANCE.",
I AM LEGEND,,APPROVED,2007,"APPROVED FILMING NIGHT EXTERIOR IN NYC NEAR BROOKLYN BRIDGE. INVOLVED ARMY STRYKER ARMORED VEHICLES (SUPPLIED WITH CREWS FROM CONTRACTOR BECAUSE NO OTHERS WERE AVAILABLE), ""HUMVEES,"" BLACK HAWK HELICOPTER, AND APPROXIMATELY 80 SOLDIERS AS EXTRAS, ALL THESE FROM THE NY NATIONAL GUARD.",
I WANTED WINGS,,APPROVED,1941,"ARMY AIR CORPS PREPAREDNESS FILM. FOCUS ON TRAINING OF NEW PILOTS. STALE PLOT, BUT AIR CORPS PROVIDED LOTS OF PLANES AND AERIAL SCENES INCLUDING THE NEW B-17S.",
ICE STATION ZEBRA,,APPROVED,1968,"NAVY PROVIDED FULL COOPERATION, USE OF NUCLEAR SUBMARINE, ETC. FOR A MISGUIDED COLD WAR CONFRONTATION FILM. US AND RUSSIAN FORCES FACE OFF IN ARCTIC OVER SPY SATELLITE PHOTOS THAT HAVE FALLEN NEAR RESEARCH STATION.",
IN COUNTRY,(NEVER PRODUCED),DENIED,,"DOD FELT THERE WAS NOTHING POSITIVE FOR THE DEPARTMENT OR FOR THE ARMY SINCE THE FILM CONCERNED THE ARMY. NO RECORD OF THIS FILM BEING MADE--NO CONNECTION TO NORMAN JEWISON FILM, WHICH SEE.",
IN COUNTRY,,APPROVED,1989,"AIR FORCE APPROVAL AFTER EARLIER DON BARUCH TURNDOWN, 19-JULY-1988 THE ARMY AND THE AIR FORCE CONCURRED ON PROVIDING ASSISTANCE FOR THE FILM, AFTER IT WAS UNDERSTOOD BY THE PRODUCTION THE RULES AND REGULATIONS OF THE DEPARTMENT",
IN HARM'S WAY,,APPROVED,1965,"OTTO PREMINGER BEGAN HIS MOVIE IN PEARL HARBOR ON DECEMBER 7, 1941. STOCKED FILM WITH JOHN WAYNE, KURT DOUGLAS. FILM POSITIVE, BUT CONTAINS INACCURATE PORTRAYALS INCLUDING PARATROOP MARINES. WAYNE GOES ON MISSION EVEN THOUGH HE KNEW BATTLE PLAN. LATER LOSES LEG, BUT STAYS IN SERVICE DUE TO REGULATIONS. NAVY PROVIDED SHIPS AND LOCALES, BUT BATTLE TAKES PLACE WITH MODELS",
IN LOVE AND WAR,,LIMITED,1958,ARMY PROVIDED LIMITED ASSISTANCE IN WORLD WAR II FILM SHOWING EFFECT OF WAR ON THREE SOLDIERS. SOME MEN AND EQUIPMENT IN BACKGROUND,
IN THE ARMY NOW,,APPROVED,1994,"PAULY SHORE COMEDY IN WHICH HE BECOMES AN ARMY RESERVE WATER PURIFICATION SPECIALIST & WINDS UP BEING RECALLED TO ACTIVE DUTY. COMPANY REQUESTED USE OF ARMY RESERVE SITE, HELICOPTERS, VEHICLES, EXTRAS, FOR PRODUCTION.",
IN THE LINE OF DUTY,STANDOFF AT MARION,DENIED,,"AFTER THE UTAH STATE FILM COMMISSION FORWARDED THE SCRIPT, DOD DETERMINED THAT THE REQUEST FOR A UH-1H HELICOPTER WOULD BE DECLINED DUE TO AN INACCURATE SCENE AND THE POSSIBILITY OF COMPETITION BETWEEN DOD AND A PRIVATE INDUSTRY. NO RECORD OF FILM BEING MADE,",
INCHON,,APPROVED,1981,"ARMY, NAVY, AND MARINES APPROVED PROJECT. MUCH ASSISTANCE PROVIDED. MAY 4 WAS PREMIERE AT THE KENNEDY CENTER. REVIEWED ON MAY 6.",
INDEPENDENCE DAY,,DENIED,1996,"NO COOPERATION DUE TO IMPLAUSIBLE PORTRAYAL OF MILITARY AND STORY CENTERED ON ALIENS ATTACKING FROM SPACE AND ANEMIC US MILITARY RESPONSE. ON OR ABOUT 1995, BECAME OBVIOUS THAT THE COMPANY WAS GOING TO GO ITS OWN WAY AND MAKE PICTURE WITHOUT US. NO FORMAL LETTER FROM DOD.",X
INDIANA JONES AND THE LAST CRUSADE,,APPROVED,1989,THE NAVY AND THE DEPARTMENT OFFERED LIMITED ASSISTANCE TO THE PRODUCTION. THEY APPROVED OF THE USE OF THE NAVAL STATION TREASURE ISLAND'S ADMINISTRATION BUILDING AS A 1930'5 STYLE BACKDROP.,
INTERCEPTOR,,DENIED,,"INACCURATE DEPICTIONS OF OPERATIONS, SECURITY, PROCEDURES, MISSIONS, DECLINED USE OF LOCKHEED STOCK FOOTAGE OF F-118A, NO RECORD OF FILM BEING MADE.",
INVADERS FROM MARS,,APPROVED,1986,"THE FILM WAS APPROVED BY THE DEPARTMENT AND THE SERVICES. IT PRESENTED A POSITIVE IMAGE TO A LARGE SECTION OF THE RECRUITING-AGE MARKET. THE THESIS OF COOPERATING WITH SCI-FI INVASIONS IS THAT THE SERVICE, IN THIS CASE THE MARINES, WOULD OPPOSE THE ADVANCED SOCIETY. THIS IS THE REMAKE OF THE 1950'S CLASSIC. THE MARINES PROVIDED FULL COOPERATION, SINCE FILM SHOWED CORPS DOING ITS JOB. DOCUMENTS IN SUID COLLECTION, GEORGETOWN UNIVERSITY LIBRARY.",Y
INVASION USA,INVASION [ORIGINAL TITLE),APPROVED,1986,"APPROVED WITH NO ADDITIONAL COST TO THE GOVERNMENT BENEFICIAL TO THE NATIONAL GUARD, AS WELL AS TO THE ENTIRE DEPARTMENT. FILM, BUT SHOWS ARMY DOING ITS JOB. DOCUMENTS IN GEORGETOWN UNIVERSITY COLLECTION.",
IRON EAGLE III,,DENIED,1992,"THE DEPARTMENT DENIED ALL REQUESTS OF APPROVAL. THE FILM CONTRADICTED US GOVERNMENT POLICY. THE FILM FAILED TO DEPICT MILITARY PEOPLE & EVENTS ACCURATELY, AND WOULD NOT BENEFIT RECRUITING OR RETENTION.",
IRON MAN II,,APPROVED,2010,"Most of the military scenes were also filmed at Edwards. From a technical standpoint we provided unclassified technological specs, set up research trips to Air Force Bases, and gave the visual effects department access so they could meticulously and accurately reflect realistic aircraft markings on the War Machine character. The Air Force assisted in designing the war machine markings and featured the 412th flight test center. Approximately 200 airmen from Edwards, and 26 from Los Angeles Air Force bases were used as extras for filming. Airmen played a variety of roles to include flight operations and aircraft maintenance and tower personnel. In addition, 26 airmen from LAAFB participated as extras for a closing ceremony scene featured at the end of the film.",Y
IRON TRIANGLE,,LIMITED,1989,"THE REQUEST FOR STOCK FOOTAGE WAS APPROVED BY THE AIR FORCE AND BY MR. D. BARUCH ON MAY 24.THE ARMY DISAPPROVED ON MAY 23, UNLESS THE EXECUTIONS WERE OMITTED",Y
"JACKAL, THE",FORMERLY THE DAY OF THE JACKAL,APPROVED,1997,APPROVED USE OF AIRCRAFT AND FILMING LOCATIONS AFTER PRODUCTION COMPANY CHANGED FBI SNIPER TO MARINE SNIPER AND INCREASED SCOPE OF MARINE DEPICTIONS. PRODUCTION COMPANY USED MARINE CH-53 FOR FAST-ROPING SEQUENCE — FILM PRINCIPALLY DEPICTS FBI IN A POSITIVE LIGHT.,
JACKKNIFE,,APPROVED,1989,"THE AIR NATIONAL GUARD, THE AIR FORCE, AND THE DOD APPROVED AND ASSISTED IN THE FILMING AT NO EXTRA COST TO THE GOVERNMENT.",
JET PILOT,,APPROVED,1957,"HOWARD HUGHES MADE FILM IN 1950 WITH ASSISTANCE FROM AIR FORCE. HOWEVER, HE DID NOT RELEASE IT FOR SEVEN YEARS. CHUCK YEAGER DID SOME OF FLYING SEQUENCES WHILE-STILL IN AIR FORCE. JOHN WAYNE AS AMERICAN PILOT FALLS IN LOVE WITH RUSSIAN WOMEN JET ACE.",
JOHN PAUL JONES,,APPROVED,1959,"FILM BIOGRAPHY OF JOHN PAUL JONES. FILM OPENS AND CLOSES WITH SCENES OF MODERN NAVY SHIPS INCLUDING SHOTS ABOARD AN AIRCRAFT CARRIER. STORY THEN TOLD IN A FLASHBACK, ALBEIT NOT A COMPLETELY ACCURATE RENDERING OF JONES' LIFE. HOWEVER MESSAGE IN FILM IS THE NEED FDR THE UNITED STATES TO HAVE A STRONG NAVY TO PRoTECT IT",
JUDGEMENT IN BERLIN,,APPROVED,1988,"THE PRODUCTION RECEIVED ASSISTANCE IN FILMING FROM THE DOD AND THE AIR FORCE. THE FILMING WAS DONE AT TEMPELHOF AIRPORT (AIR FORCE INSTALLATION AT THE TIME].",
JUDGMENT AT NUREMBERG,,APPROVED,1961,"A STANLEY KRAMER ""MESSAGE"" FILM. TRIAL OF GERMAN JUDGES WHO CARRIED OUT HITLER'S LEGAL DECREES. ARMY OFFICER IS CHIEF PROSECUTOR AND FILM SET IN GERMANY. MILITARY PROVIDED ASSISTANCE IN FORM OF EQUIPMENT AND SOLDIERS",
JUMPING JACKS,,APPROVED,1952,JERRY LEWIS AND DEAN MARTIN SERVICE COMEDY. BOYS END UP AS PARATROOPERS IN THE ARMY. ILLUSTRATES DRAMATIC LICENSE WHEN ONE STAR LANDS ON PARACHUTE OF OTHER STAR DURING A SCENE OF PARACHUTE JUMPING COURTESY US. ARMY,
JURASSIC PARK III,,APPROVED,2003,"FIRST APPROACHED IN JUNE 2000 WITH A SCRIPT THAT FEATURED A ""BAD"" MILITARY FORCE THAT EVENTUALLY FOUGHT DINOSAURS OR ATTEMPTED TO DO SO. SCRIPT REWRITTEN AT OUR SUGGESTION TO ELIMINATE ALL MILITARY REFERENCES, SINCE NO POSITIVE MILITARY PORTRAYAL SEEMED FEASIBLE. THEN IN NOVEMBER 2000, THE PRODUCTION COMPANY EXPRESSED AN INTEREST IN WRITING A MILITARY RESCUE SCENE AT THE END. ULTIMATELY WE CAME UP WITH A MUTUALLY AGREEABLE SCENARIO. DOD APPROVED FILMING IN HAWAII ON A PRIVATE ESTATE AT KAUAI WITH NAVY HELICOPTERS, MARINE CORPS AMPHIBIOUS ASSAULT VEHICLES, AND MILITARY EXTRAS",
KARATE KID II,,APPROVED,1986,"APPROVAL WAS GRANTED FOR THE USE OF EQUIPMENT SUCH AS A HUEY, TRUCKS, JEEPS, ETC. PROVIDING THE PRODUCTION FOLLOW DOD'S CONDITIONS SUCH AS: NO INTERFERENCE, NO EXPENSE, NO VIOLATIONS, ETC.",
KELLY'S HEROES,,DENIED,1970,UNREALISTIC CHARACTERIZATIONS OF WORLD WAR II SOLDIERS AND NEGATIVE IMAGE OF AMERICAN SOLDIERS STEALING NAZI GOLD. SO TURNDOWN AND FILM SHOT IN EUROPE,
KILLING FIELDS,,APPROVED,1984,"DOD AND THE USMC AGREED TO MAKE MARINE CORPS HELICOPTERS AVAILABLE PROVIDING IT BE AT NO ADDITIONAL COST TO THE GOVERNMENT. ONE OF THE FEW EARLY MOVIES ABOUT WAR IN SE. ASIA TO RECEIVE DOD COOPERATION",Y
